id;nome_campo;tipo;descricao;obrigatorio;secao
46;licenca_ambiental;CHAR(3);Licenca ambiental? (sim/nao);Condicional;Ambiental
47;intervencao_em;TEXT;Descricao do local da intervencao;Nao;Local_Intervencao
48;distribuir_postes;CHAR(3);Distribuir postes no dia? (sim/nao);Condicional;Logistica
49;apoio_distribuicao;CHAR(3);Apoio na distribuicao? (sim/nao);Condicional;Logistica
50;sinaliza_transito;CHAR(3);Sinaliza transito? (sim/nao);Condicional;Logistica
51;sinal_celular;CHAR(3);Sinal celular? (sim/nao);Condicional;Logistica
52;acesso_chuva;CHAR(3);Acesso com chuva? (sim/nao);Condicional;Logistica
53;acesso_caminhao;CHAR(3);Acesso caminhao? (sim/nao);Condicional;Logistica
54;porteira_cadeada;CHAR(3);Porteira cadeada? (sim/nao);Condicional;Logistica
55;possui_nome_rua;CHAR(3);Possui nome de rua? (sim/nao);Condicional;Logistica
56;abelha_poste;CHAR(3);Abelha no poste? (sim/nao);Condicional;Checklist
57;cava_rocha;CHAR(3);Cava em rocha? (sim/nao);Condicional;Checklist
58;cava_profunda;CHAR(3);Cava profunda? (sim/nao);Condicional;Checklist
59;tubulacao_gas;CHAR(3);Tubulacao de gas? (sim/nao);Condicional;Checklist
60;piquetespray;CHAR(3);Piquete/spray? (sim/nao);Condicional;Checklist
61;reparo_calcada;CHAR(3);Reparo de calcada? (sim/nao);Condicional;Checklist
62;reparo_calcada_especial;CHAR(3);Reparo calcada especial? (sim/nao);Condicional;Checklist
63;indicado_dxf;CHAR(3);Indicado cercas no DXF? (sim/nao);Condicional;Checklist
64;efeito_montante_jusante;CHAR(3);Adequacao elos montante/jusante? (sim/nao/na);Condicional;Checklist
65;substituir_trafo;CHAR(3);Substituir transformador? (sim/nao);Condicional;Projeto
66;barramento;CHAR(3);Substituir barramento? (sim/nao);Condicional;Projeto
67;ligacao_cc_pr;CHAR(3);Substituir ligacao chave/para-raio? (sim/nao);Condicional;Projeto
68;pintar_conf_tomb;CHAR(3);Pintar conf/tomb? (sim/nao);Condicional;Projeto
69;possui_glv;CHAR(3);Possui GLV? (sim/nao);Condicional;Projeto
70;instalar_protetor;CHAR(3);Instalar protetor de bucha? (sim/nao);Condicional;Projeto
71;verificado_adequacao;CHAR(3);Verificado adequacao? (sim/nao);Condicional;Projeto
72;doar_padrao;CHAR(3);Doar padrao? (sim/nao);Condicional;Projeto
73;trocar_medidores;CHAR(3);Trocar medidores 240V? (sim/nao);Condicional;Executar_Obra
74;medidor_ligado;CHAR(3);Medidor ja ligado? (sim/nao);Condicional;Executar_Obra
75;num_medidor;VARCHAR(50);Numero do medidor ja ligado;Nao;Executar_Obra
76;cc_reta_guarda;VARCHAR(50);Confiabilidade RetaGuarda;Nao;Executar_Obra
77;num_clientes;INTEGER;Numero de clientes;Nao;Executar_Obra
78;apoio_caixa;CHAR(3);Caixa de derivacao? (sim/nao);Condicional;Atencao
79;apoio_tubulacao;CHAR(3);Tubulacao subterranea? (sim/nao);Condicional;Atencao
80;verificou_rede_ip;CHAR(3);Verificou rede IP? (sim/nao);Condicional;Atencao
81;telefonica;CHAR(3);Telefonica? (sim/nao);Condicional;Atencao
82;apoio_drops;CHAR(3);Fio drops? (sim/nao);Condicional;Atencao
83;apoio_fibra;CHAR(3);Fibra optica? (sim/nao);Condicional;Atencao
84;anotacoes;TEXT;Observacoes gerais;Nao;Anotacoes
